"wk","tr","nc","stg","id"
0,112,0.86,"1",962
1,112,0.86,"1",962
1,112,0.86,"2",963
2,112,0.57,"2",963
2,112,0.57,"3",964
3,112,1.57,"3",964
4,112,2.57,"3",964
5,112,2.57,"3",964
6,112,1.71,"3",964
7,112,1.14,"3",964
8,112,0.71,"3",964
9,112,0.86,"3",964
9,112,0.86,"2",965
10,112,0.86,"2",965
11,112,0.57,"2",965
12,112,1.71,"2",965
13,112,0.43,"2",965
13,112,0.43,"3",966
14,112,0.43,"3",966
15,112,0.43,"3",966
16,112,0.57,"3",966
16,112,0.57,"2",967
17,112,1,"2",967
18,112,0.57,"2",967
19,112,0.86,"2",967
20,112,2,"2",967
21,112,2.29,"2",967
22,112,4.57,"2",967
22,112,4.57,"3",968
23,112,2.14,"3",968
24,112,3.14,"3",968
25,112,2.71,"3",968
26,112,1.71,"3",968
27,112,2.29,"3",968
27,112,2.29,"2",969
28,112,3.57,"2",969
29,112,3.86,"2",969
30,112,5.29,"2",969
31,112,4,"2",969
32,112,3.43,"2",969
33,112,4.86,"2",969
34,112,4.43,"2",969
35,112,2.86,"2",969
36,112,3.14,"2",969
37,112,2,"2",969
38,112,2.43,"2",969
39,112,1.71,"2",969
40,112,3.29,"2",969
41,112,2.14,"2",969
42,112,2.29,"2",969
43,112,3.57,"2",969
44,112,3,"2",969
45,112,3.71,"2",969
46,112,1.43,"2",969
47,112,2.14,"2",969
48,112,3,"2",969
49,112,3.14,"2",969
50,112,3.57,"2",969
51,112,2.86,"2",969
52,112,2.29,"2",969
0,762,0.86,"1",5277
1,762,3,"1",5277
1,762,3,"2",5278
2,762,4.14,"2",5278
2,762,4.14,"3",5279
3,762,2.29,"3",5279
4,762,3.14,"3",5279
5,762,2.86,"3",5279
6,762,1.29,"3",5279
7,762,1.29,"3",5279
8,762,1,"3",5279
9,762,1.43,"3",5279
10,762,2,"3",5279
11,762,1.86,"3",5279
12,762,1.71,"3",5279
13,762,1.43,"3",5279
14,762,1.71,"3",5279
14,762,1.71,"2",5280
15,762,2.29,"2",5280
16,762,2.43,"2",5280
17,762,3.14,"2",5280
18,762,3.71,"2",5280
18,762,3.71,"3",5281
19,762,2.14,"3",5281
20,762,3.71,"3",5281
21,762,3.86,"3",5281
22,762,4,"3",5281
23,762,2.71,"3",5281
24,762,2.29,"3",5281
25,762,0.86,"3",5281
26,762,1.86,"3",5281
26,762,1.86,"2",5282
27,762,1.57,"2",5282
28,762,1.29,"2",5282
29,762,1.71,"2",5282
30,762,2.57,"2",5282
31,762,3,"2",5282
32,762,4.14,"2",5282
33,762,4.86,"2",5282
34,762,3.86,"2",5282
35,762,3.71,"2",5282
36,762,4.43,"2",5282
37,762,3.57,"2",5282
38,762,3.57,"2",5282
39,762,2.57,"2",5282
40,762,3.14,"2",5282
41,762,4.57,"2",5282
42,762,6.14,"2",5282
43,762,6.14,"2",5282
44,762,4.86,"2",5282
45,762,4.14,"2",5282
46,762,3.86,"2",5282
47,762,4.29,"2",5282
48,762,3.86,"2",5282
49,762,5.14,"2",5282
50,762,4.71,"2",5282
51,762,3.71,"2",5282
52,762,3,"2",5282
0,1410,1,"1",9767
1,1410,1.86,"1",9767
1,1410,1.86,"2",9768
2,1410,1.71,"2",9768
2,1410,1.71,"3",9769
3,1410,1.14,"3",9769
4,1410,0.43,"3",9769
5,1410,0.86,"3",9769
5,1410,0.86,"2",9770
6,1410,0.71,"2",9770
7,1410,1.43,"2",9770
8,1410,2,"2",9770
9,1410,4.29,"2",9770
9,1410,4.29,"3",9771
10,1410,2.43,"3",9771
11,1410,2.29,"3",9771
12,1410,1.86,"3",9771
13,1410,1.43,"3",9771
14,1410,1.57,"3",9771
14,1410,1.57,"2",9772
15,1410,1.29,"2",9772
16,1410,1.29,"2",9772
17,1410,1,"2",9772
18,1410,1.14,"2",9772
19,1410,1.29,"2",9772
20,1410,1.43,"2",9772
21,1410,2.86,"2",9772
22,1410,1.29,"2",9772
23,1410,1.86,"2",9772
24,1410,1.57,"2",9772
25,1410,0.71,"2",9772
26,1410,0.71,"2",9772
27,1410,1.86,"2",9772
28,1410,0.57,"2",9772
29,1410,1.29,"2",9772
30,1410,1,"2",9772
31,1410,1.43,"2",9772
32,1410,1.71,"2",9772
33,1410,1.29,"2",9772
34,1410,0.71,"2",9772
35,1410,0.29,"2",9772
36,1410,0.29,"2",9772
37,1410,0.29,"2",9772
37,1410,0.29,"1b",9773
38,1410,1,"1b",9773
39,1410,1.57,"1b",9773
39,1410,1.57,"2",9774
40,1410,0.71,"2",9774
41,1410,3.43,"2",9774
42,1410,2.43,"2",9774
43,1410,3.57,"2",9774
44,1410,2.57,"2",9774
45,1410,2.14,"2",9774
46,1410,1.71,"2",9774
47,1410,1.86,"2",9774
48,1410,1.86,"2",9774
49,1410,1.86,"2",9774
50,1410,1,"2",9774
51,1410,1.29,"2",9774
52,1410,1.57,"2",9774
0,2061,0.86,"1",14331
1,2061,2.71,"1",14331
1,2061,2.71,"2",14332
2,2061,2.43,"2",14332
2,2061,2.43,"3",14333
3,2061,1.43,"3",14333
4,2061,1.29,"3",14333
5,2061,1.57,"3",14333
6,2061,2,"3",14333
7,2061,1.71,"3",14333
8,2061,0.71,"3",14333
9,2061,0.29,"3",14333
10,2061,0.14,"3",14333
10,2061,0.14,"2",14334
11,2061,0.71,"2",14334
12,2061,1.14,"2",14334
13,2061,1.29,"2",14334
14,2061,1,"2",14334
15,2061,1.14,"2",14334
16,2061,0.57,"2",14334
17,2061,0.57,"2",14334
18,2061,0.86,"2",14334
19,2061,1,"2",14334
20,2061,0.43,"2",14334
21,2061,0.86,"2",14334
22,2061,1,"2",14334
23,2061,1,"2",14334
24,2061,1.57,"2",14334
25,2061,0.57,"2",14334
26,2061,0.57,"2",14334
27,2061,1.57,"2",14334
28,2061,1.57,"2",14334
29,2061,2.29,"2",14334
30,2061,1.14,"2",14334
31,2061,1.43,"2",14334
32,2061,1,"2",14334
33,2061,0.86,"2",14334
34,2061,0.57,"2",14334
35,2061,0.71,"2",14334
36,2061,0.86,"2",14334
37,2061,1,"2",14334
38,2061,0.71,"2",14334
39,2061,0.43,"2",14334
40,2061,1,"2",14334
41,2061,0.71,"2",14334
42,2061,0.86,"2",14334
43,2061,1.14,"2",14334
44,2061,1.14,"2",14334
45,2061,2.14,"2",14334
46,2061,2.57,"2",14334
47,2061,2.14,"2",14334
48,2061,2.29,"2",14334
49,2061,1.29,"2",14334
50,2061,2.29,"2",14334
51,2061,1.86,"2",14334
52,2061,1,"2",14334
0,2710,0.86,"1",18848
1,2710,0.43,"1",18848
1,2710,0.43,"2",18849
2,2710,0.29,"2",18849
3,2710,1,"2",18849
4,2710,1.14,"2",18849
5,2710,1,"2",18849
6,2710,1.57,"2",18849
7,2710,0.86,"2",18849
8,2710,1.86,"2",18849
9,2710,2.14,"2",18849
9,2710,2.14,"3",18850
10,2710,1.29,"3",18850
11,2710,1.86,"3",18850
12,2710,1.29,"3",18850
13,2710,1.14,"3",18850
14,2710,1,"3",18850
14,2710,1,"2",18851
15,2710,1.14,"2",18851
16,2710,0.86,"2",18851
17,2710,0.71,"2",18851
18,2710,0.29,"2",18851
19,2710,1.14,"2",18851
20,2710,1.29,"2",18851
21,2710,1.43,"2",18851
22,2710,1.43,"2",18851
23,2710,2,"2",18851
24,2710,2.71,"2",18851
