"wk","tr","nc","stg","id"
0,631,0.86,"1",4085
1,631,1.57,"1",4085
2,631,2.71,"1",4085
3,631,3.14,"1",4085
4,631,5.57,"1",4085
5,631,7.29,"1",4085
6,631,7,"1",4085
7,631,13.29,"1",4085
8,631,22.14,"1",4085
9,631,41.71,"1",4085
10,631,52.57,"1",4085
11,631,97.14,"1",4085
12,631,128,"1",4085
12,631,128,"1b",4086
13,631,176,"1b",4086
14,631,251.43,"1b",4086
15,631,404.57,"1b",4086
16,631,603.43,"1b",4086
16,631,603.43,"3",4087
17,631,539.43,"3",4087
18,631,630.86,"3",4087
19,631,649.14,"3",4087
20,631,466.29,"3",4087
21,631,365.71,"3",4087
21,631,365.71,"4",4088
22,631,237.71,"4",4088
23,631,109.71,"4",4088
24,631,89.14,"4",4088
25,631,41.14,"4",4088
26,631,43.43,"4",4088
26,631,43.43,"3",4089
27,631,44.57,"3",4089
28,631,20,"3",4089
29,631,36,"3",4089
29,631,36,"2",4090
30,631,24.57,"2",4090
31,631,26.29,"2",4090
32,631,20.57,"2",4090
32,631,20.57,"1b",4091
33,631,19.43,"1b",4091
34,631,23.43,"1b",4091
35,631,21.71,"1b",4091
35,631,21.71,"1",4092
36,631,24.57,"1",4092
37,631,30.86,"1",4092
38,631,30.86,"1",4092
39,631,32.57,"1",4092
40,631,31.43,"1",4092
41,631,37.14,"1",4092
42,631,33.71,"1",4092
43,631,41.14,"1",4092
44,631,44,"1",4092
45,631,35.43,"1",4092
46,631,19.43,"1",4092
47,631,18.86,"1",4092
48,631,6.86,"1",4092
49,631,4,"1",4092
50,631,2.86,"1",4092
51,631,4.57,"1",4092
52,631,2.29,"1",4092
0,1275,0.86,"1",8334
1,1275,3.14,"1",8334
2,1275,4,"1",8334
3,1275,5.71,"1",8334
4,1275,8.57,"1",8334
5,1275,12.43,"1",8334
6,1275,20.43,"1",8334
7,1275,38.86,"1",8334
8,1275,66.29,"1",8334
9,1275,146.86,"1",8334
10,1275,203.43,"1",8334
10,1275,203.43,"1b",8335
11,1275,349.71,"1b",8335
12,1275,749.71,"1b",8335
12,1275,749.71,"3",8336
13,1275,603.43,"3",8336
13,1275,603.43,"4",8337
14,1275,429.71,"4",8337
15,1275,219.43,"4",8337
16,1275,210.29,"4",8337
17,1275,48,"4",8337
18,1275,32,"4",8337
19,1275,16,"4",8337
19,1275,16,"3",8338
20,1275,16.57,"3",8338
21,1275,16.57,"3",8338
22,1275,19.43,"3",8338
22,1275,19.43,"2",8339
23,1275,22.29,"2",8339
24,1275,21.14,"2",8339
25,1275,25.71,"2",8339
25,1275,25.71,"1b",8340
26,1275,34.86,"1b",8340
27,1275,33.71,"1b",8340
28,1275,43.43,"1b",8340
28,1275,43.43,"1",8341
29,1275,48.57,"1",8341
30,1275,47.43,"1",8341
31,1275,64.57,"1",8341
32,1275,93.14,"1",8341
33,1275,123.43,"1",8341
33,1275,123.43,"1b",8342
34,1275,155.43,"1b",8342
35,1275,134.86,"1b",8342
36,1275,121.14,"1b",8342
37,1275,192,"1b",8342
38,1275,148.57,"1b",8342
39,1275,182.86,"1b",8342
40,1275,116.57,"1b",8342
41,1275,86.86,"1b",8342
42,1275,96,"1b",8342
43,1275,82.29,"1b",8342
44,1275,68.57,"1b",8342
45,1275,41.14,"1b",8342
45,1275,41.14,"1",8343
46,1275,14.29,"1",8343
47,1275,12.57,"1",8343
48,1275,4.71,"1",8343
49,1275,4,"1",8343
50,1275,3,"1",8343
51,1275,2,"1",8343
52,1275,1.71,"1",8343
0,1926,1,"1",13165
1,1926,1.57,"1",13165
2,1926,3.71,"1",13165
3,1926,4.71,"1",13165
4,1926,6.29,"1",13165
5,1926,8.71,"1",13165
6,1926,10.14,"1",13165
7,1926,20.43,"1",13165
8,1926,17.14,"1",13165
9,1926,33.14,"1",13165
10,1926,57.71,"1",13165
11,1926,81.14,"1",13165
12,1926,169.14,"1",13165
12,1926,169.14,"1b",13166
13,1926,187.43,"1b",13166
14,1926,299.43,"1b",13166
15,1926,493.71,"1b",13166
16,1926,557.71,"1b",13166
16,1926,557.71,"3",13167
17,1926,594.29,"3",13167
18,1926,704,"3",13167
19,1926,786.29,"3",13167
19,1926,786.29,"4",13168
20,1926,393.14,"4",13168
21,1926,256,"4",13168
22,1926,219.43,"4",13168
23,1926,98.29,"4",13168
24,1926,50.29,"4",13168
25,1926,54.86,"4",13168
25,1926,54.86,"3",13169
26,1926,54.86,"3",13169
27,1926,21.14,"3",13169
