"wk","tr","nc","stg","id"
0,200,0.86,"1",1608
1,200,1.14,"1",1608
1,200,1.14,"1b",1609
2,200,0.43,"1b",1609
2,200,0.43,"2",1610
3,200,1.43,"2",1610
4,200,0.71,"2",1610
5,200,1.29,"2",1610
6,200,0.29,"2",1610
7,200,0.43,"2",1610
8,200,0.71,"2",1610
9,200,0.57,"2",1610
9,200,0.57,"1b",1611
10,200,0,"1b",1611
11,200,0.29,"1b",1611
12,200,0,"1b",1611
13,200,0.14,"1b",1611
14,200,0.14,"1b",1611
15,200,0.57,"1b",1611
16,200,0.43,"1b",1611
17,200,0.71,"1b",1611
18,200,0.86,"1b",1611
19,200,0.71,"1b",1611
20,200,1,"1b",1611
20,200,1,"2",1612
21,200,0.71,"2",1612
22,200,0.43,"2",1612
23,200,0.57,"2",1612
24,200,0.71,"2",1612
24,200,0.71,"1b",1613
25,200,0.71,"1b",1613
25,200,0.71,"2",1614
26,200,0.29,"2",1614
27,200,0.43,"2",1614
28,200,0.29,"2",1614
28,200,0.29,"1b",1615
29,200,1.14,"1b",1615
30,200,0.86,"1b",1615
31,200,1.57,"1b",1615
31,200,1.57,"2",1616
32,200,2,"2",1616
33,200,3.29,"2",1616
34,200,2.14,"2",1616
35,200,1.43,"2",1616
36,200,1.86,"2",1616
37,200,1.14,"2",1616
38,200,0.86,"2",1616
39,200,2.14,"2",1616
40,200,1.86,"2",1616
41,200,3,"2",1616
42,200,2.43,"2",1616
43,200,2.57,"2",1616
44,200,3.86,"2",1616
45,200,3.29,"2",1616
46,200,4.29,"2",1616
47,200,4.57,"2",1616
48,200,5.43,"2",1616
49,200,5,"2",1616
50,200,4.86,"2",1616
51,200,3.43,"2",1616
52,200,3.14,"2",1616
0,850,0.86,"1",5929
1,850,1,"1",5929
1,850,1,"2",5930
2,850,1.29,"2",5930
3,850,1.14,"2",5930
4,850,1.14,"2",5930
5,850,2.29,"2",5930
6,850,1.71,"2",5930
7,850,2.86,"2",5930
8,850,1.86,"2",5930
9,850,1.14,"2",5930
10,850,2.29,"2",5930
11,850,1.57,"2",5930
12,850,1.57,"2",5930
13,850,0.86,"2",5930
14,850,1.57,"2",5930
15,850,0.57,"2",5930
16,850,1.14,"2",5930
17,850,0.86,"2",5930
18,850,1.14,"2",5930
19,850,1,"2",5930
20,850,0.43,"2",5930
21,850,0.57,"2",5930
22,850,0.57,"2",5930
22,850,0.57,"1b",5931
23,850,0.57,"1b",5931
24,850,1,"1b",5931
25,850,1,"1b",5931
25,850,1,"2",5932
26,850,0,"2",5932
27,850,0.57,"2",5932
28,850,0.43,"2",5932
29,850,0.29,"2",5932
29,850,0.29,"1b",5933
30,850,0.71,"1b",5933
31,850,1.71,"1b",5933
31,850,1.71,"2",5934
32,850,0.57,"2",5934
33,850,1.29,"2",5934
34,850,1.57,"2",5934
35,850,0.71,"2",5934
36,850,1,"2",5934
37,850,0.29,"2",5934
37,850,0.29,"1b",5935
38,850,1.29,"1b",5935
38,850,1.29,"2",5936
39,850,1.14,"2",5936
40,850,2.29,"2",5936
41,850,2.71,"2",5936
42,850,4.86,"2",5936
43,850,6.29,"2",5936
44,850,5.43,"2",5936
45,850,3.29,"2",5936
46,850,3.57,"2",5936
47,850,3.57,"2",5936
