"wk","tr","nc","stg","id"
0,366,0.86,"1",2665
1,366,1.29,"1",2665
2,366,0.71,"1",2665
3,366,0.86,"1",2665
4,366,0.43,"1",2665
5,366,1,"1",2665
6,366,0.86,"1",2665
7,366,0.86,"1",2665
8,366,0.86,"1",2665
9,366,1.43,"1",2665
10,366,2.14,"1",2665
11,366,1.29,"1",2665
12,366,1.86,"1",2665
13,366,2.71,"1",2665
14,366,2,"1",2665
15,366,1.71,"1",2665
16,366,1.29,"1",2665
17,366,1.57,"1",2665
18,366,2.71,"1",2665
19,366,2.86,"1",2665
20,366,1.43,"1",2665
21,366,1.14,"1",2665
22,366,1.14,"1",2665
23,366,1.14,"1",2665
24,366,1.43,"1",2665
25,366,0.43,"1",2665
26,366,0.71,"1",2665
27,366,1,"1",2665
28,366,1.29,"1",2665
29,366,1.43,"1",2665
30,366,1.29,"1",2665
31,366,1.57,"1",2665
32,366,0.86,"1",2665
33,366,3,"1",2665
34,366,3.29,"1",2665
35,366,2.86,"1",2665
36,366,2.71,"1",2665
37,366,3.57,"1",2665
38,366,3.71,"1",2665
39,366,1.86,"1",2665
40,366,2.86,"1",2665
41,366,3.71,"1",2665
42,366,5.43,"1",2665
43,366,6,"1",2665
44,366,4.71,"1",2665
45,366,4.71,"1",2665
46,366,5.86,"1",2665
47,366,4.14,"1",2665
48,366,4.29,"1",2665
49,366,3.43,"1",2665
50,366,3,"1",2665
51,366,2.86,"1",2665
52,366,3.14,"1",2665
0,1013,0.86,"1",7000
1,1013,1.29,"1",7000
2,1013,0.86,"1",7000
3,1013,1.57,"1",7000
4,1013,2.29,"1",7000
5,1013,2.43,"1",7000
6,1013,4.43,"1",7000
7,1013,4.71,"1",7000
8,1013,5.43,"1",7000
9,1013,8.14,"1",7000
10,1013,8.71,"1",7000
11,1013,9.86,"1",7000
12,1013,8.71,"1",7000
13,1013,9.71,"1",7000
14,1013,7.86,"1",7000
15,1013,7.71,"1",7000
16,1013,5.71,"1",7000
17,1013,7.29,"1",7000
18,1013,6.71,"1",7000
19,1013,7,"1",7000
20,1013,6.71,"1",7000
21,1013,6.14,"1",7000
22,1013,7.29,"1",7000
23,1013,4.86,"1",7000
24,1013,5,"1",7000
25,1013,4.29,"1",7000
26,1013,3,"1",7000
27,1013,2,"1",7000
28,1013,1.57,"1",7000
29,1013,1.57,"1",7000
30,1013,1.14,"1",7000
31,1013,1.71,"1",7000
32,1013,1.14,"1",7000
33,1013,1.86,"1",7000
34,1013,1.29,"1",7000
35,1013,0.57,"1",7000
36,1013,0.43,"1",7000
37,1013,0.29,"1",7000
38,1013,1.29,"1",7000
39,1013,0.43,"1",7000
40,1013,2.14,"1",7000
41,1013,2.14,"1",7000
42,1013,3.14,"1",7000
43,1013,4.29,"1",7000
44,1013,3.71,"1",7000
45,1013,2.71,"1",7000
46,1013,3.43,"1",7000
47,1013,3.57,"1",7000
48,1013,2.86,"1",7000
49,1013,4.14,"1",7000
50,1013,4,"1",7000
51,1013,4.29,"1",7000
52,1013,4.43,"1",7000
0,1660,1,"1",11847
1,1660,1.57,"1",11847
2,1660,2.57,"1",11847
3,1660,3.14,"1",11847
4,1660,4.14,"1",11847
5,1660,3.71,"1",11847
6,1660,3.71,"1",11847
7,1660,3.71,"1",11847
8,1660,4,"1",11847
9,1660,6,"1",11847
10,1660,6.29,"1",11847
11,1660,8.29,"1",11847
12,1660,8.43,"1",11847
13,1660,8.29,"1",11847
14,1660,9.57,"1",11847
15,1660,10.29,"1",11847
16,1660,12.29,"1",11847
17,1660,9.57,"1",11847
18,1660,9.14,"1",11847
19,1660,6.86,"1",11847
20,1660,9.57,"1",11847
21,1660,10.86,"1",11847
22,1660,9.43,"1",11847
23,1660,8.71,"1",11847
24,1660,9.57,"1",11847
25,1660,8.57,"1",11847
26,1660,6.71,"1",11847
27,1660,6.43,"1",11847
28,1660,4.86,"1",11847
29,1660,4,"1",11847
30,1660,4.14,"1",11847
31,1660,4.43,"1",11847
32,1660,2.71,"1",11847
33,1660,2.14,"1",11847
34,1660,2.43,"1",11847
35,1660,2.57,"1",11847
36,1660,1.57,"1",11847
37,1660,2,"1",11847
38,1660,3.43,"1",11847
39,1660,3.29,"1",11847
40,1660,2.71,"1",11847
41,1660,1.86,"1",11847
42,1660,1.57,"1",11847
43,1660,2,"1",11847
44,1660,1,"1",11847
45,1660,0.86,"1",11847
46,1660,0.71,"1",11847
47,1660,1.14,"1",11847
48,1660,0.43,"1",11847
49,1660,0.14,"1",11847
50,1660,0.86,"1",11847
51,1660,0.86,"1",11847
52,1660,0.29,"1",11847
0,2307,0.86,"1",16257
1,2307,0.71,"1",16257
2,2307,0.86,"1",16257
3,2307,1.57,"1",16257
4,2307,2,"1",16257
5,2307,2.43,"1",16257
6,2307,2.29,"1",16257
7,2307,2.71,"1",16257
8,2307,1.86,"1",16257
9,2307,2.71,"1",16257
10,2307,2.86,"1",16257
