vu,R0,str,vr,vk,va,wk,q50,q95,q5,bo
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,0,0.0,0.14,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,1,0.0,1.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,2,0.14,4.66,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,3,0.14,6.49,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,4,0.29,9.73,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,5,0.29,12.86,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,6,0.57,10.36,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,7,1.14,11.45,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,8,1.36,11.61,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,9,2.21,14.09,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,10,2.29,16.07,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,11,2.29,16.3,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,12,2.0,17.35,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,13,2.86,15.71,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,14,3.07,14.59,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,15,2.86,12.49,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,16,2.57,11.27,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,17,2.57,13.58,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,18,2.21,15.02,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,19,1.86,11.46,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,20,2.0,12.17,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,21,2.0,13.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,22,2.14,13.74,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,23,2.57,14.35,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,24,2.64,11.22,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,25,2.5,14.24,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,26,2.43,9.61,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,27,2.79,11.53,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,28,2.36,9.91,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,29,2.79,12.61,0.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,30,2.86,15.12,0.14,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,31,3.79,21.19,0.14,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,32,5.79,33.64,0.29,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,33,9.36,48.37,0.29,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,34,14.71,85.71,1.0,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,35,21.57,100.69,1.71,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,36,28.29,124.03,3.14,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,37,32.0,128.34,3.82,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,38,34.29,110.63,5.57,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,39,35.43,104.31,4.56,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,40,27.43,115.43,3.41,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,41,22.0,118.34,3.54,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,42,18.0,103.06,2.97,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,43,10.57,91.77,1.86,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,44,9.86,102.91,1.42,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,45,6.86,77.8,1.14,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,46,5.5,57.71,1.13,0
70% Vaccinated,5.0,ME_ME_TS,AZ_25,0,0.2,47,4.86,80.29,0.99,0
